"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Keaontay Ingram","ARI","75.3","305.0","1.8","13.6","92.2","0.3","0.4","51.4"
"Israel Abanikanda","NYJ","94.3","352.4","0.3","0.0","130.8","0.1","0.5","49.7"
"Latavius Murray","BUF","62.8","293.5","1.7","10.3","75.1","0.2","0.3","47.6"
"Kenyan Drake","IND","60.8","253.4","1.3","17.0","122.5","0.3","0.3","46.4"
"Isaiah Spiller","LAC","70.5","274.3","1.2","9.5","82.2","0.3","0.3","44.0"
"Matt Breida","NYG","59.1","264.2","1.2","12.9","103.3","0.3","0.8","44.0"
"Zack Moss","IND","66.3","292.7","1.3","9.3","63.3","0.2","0.5","43.5"
"Zamir White","LV","59.4","253.1","1.9","10.4","48.6","0.3","0.2","43.1"
"Zach Evans","LAR","60.9","231.2","1.3","9.8","90.5","0.4","0.5","41.5"
"Deuce Vaughn","DAL","71.1","222.2","1.3","10.9","91.1","0.4","0.7","40.4"
"Michael Carter","NYJ","44.3","189.4","0.8","14.1","139.8","0.4","0.4","39.3"
"Corey Clement","ARI","56.7","205.8","1.7","11.8","80.2","0.2","0.4","39.0"
"Malik Davis","DAL","70.8","239.7","1.4","4.8","49.9","0.2","0.2","37.8"
"Eric Gray","NYG","50.0","212.6","1.1","8.5","71.6","0.4","0.5","36.7"
"JaMycal Hasty","JAC","37.4","183.0","1.0","12.9","97.3","0.4","0.4","35.7"
"Zonovan Knight","NYJ","43.9","218.7","0.8","8.7","78.8","0.3","0.3","35.6"
"Melvin Gordon III","BAL","42.5","187.5","0.9","11.7","89.3","0.3","0.8","33.4"
"Jordan Mason","SF","52.7","238.0","0.8","2.9","35.9","0.1","0.4","32.2"
"Pierre Strong Jr.","NE","47.5","199.1","0.7","5.5","67.4","0.2","0.2","31.7"
"Ke'Shawn Vaughn","TB","51.9","206.5","1.2","5.8","39.0","0.1","0.6","31.5"
"DeeJay Dallas","SEA","33.0","163.6","0.8","11.2","88.7","0.3","0.1","31.5"
"Hassan Haskins","TEN","39.7","152.3","0.5","12.9","89.6","0.4","0.2","29.1"
"Ameer Abdullah","LV","28.1","97.1","0.4","18.4","140.5","0.6","0.4","28.9"
"Evan Hull","IND","46.1","177.2","0.6","5.2","61.9","0.1","0.2","27.7"
"Chris Rodriguez Jr.","WAS","38.2","161.4","0.8","8.7","59.4","0.2","0.1","27.7"
"Raheem Blackshear","CAR","31.0","117.1","1.2","10.7","80.4","0.3","0.4","27.5"
"Trayveon Williams","CIN","50.5","185.8","0.7","6.9","54.6","0.2","0.9","27.5"
"DeWayne McBride","MIN","56.8","173.5","0.7","3.6","53.4","0.1","0.2","27.1"
"Kene Nwangwu","MIN","44.7","153.1","0.9","7.3","50.8","0.2","0.2","26.6"
"Sean Tucker","TB","43.1","165.8","0.6","5.0","56.5","0.2","0.3","26.0"
"Deon Jackson","IND","41.3","113.6","0.4","17.9","109.4","0.5","0.8","26.0"
"Craig Reynolds","DET","25.6","120.9","0.7","8.9","74.1","0.3","0.1","25.6"
"Chris Evans","CIN","35.6","125.5","0.5","9.9","74.5","0.3","0.2","24.5"
"Boston Scott","PHI","31.2","143.8","1.1","3.6","36.0","0.1","0.5","24.1"
"Sincere McCormick","LV","30.0","136.0","1.0","4.0","39.0","0.0","0.0","23.5"
"Anthony McFarland Jr.","PIT","21.3","128.8","0.6","8.2","51.0","0.2","0.1","22.8"
"Kenny McIntosh","SEA","39.0","146.9","0.5","4.0","49.1","0.0","0.2","22.3"
"Patrick Taylor Jr.","GB","21.3","114.1","0.9","6.1","42.8","0.3","0.1","22.3"
"Rico Dowdle","DAL","36.3","129.2","0.6","4.9","44.4","0.2","0.1","21.8"
"Travis Homer","CHI","19.4","98.2","0.3","9.9","81.7","0.3","0.1","21.4"
"Ty Montgomery","NE","22.4","64.2","0.2","14.5","101.7","0.5","0.0","20.9"
"Kevin Harris","NE","34.1","132.5","0.5","3.1","33.9","0.1","0.1","20.0"
"James Robinson","NYG","45.5","145.0","0.2","4.0","46.1","0.1","0.4","19.9"
"Kyle Juszczyk","SF","8.9","30.4","0.4","13.0","107.9","0.6","0.0","19.8"
"Tyler Badie","DEN","20.3","97.4","0.4","9.5","58.0","0.2","0.2","19.2"
"Darrel Williams","NO","36.7","117.1","0.0","0.0","72.6","0.0","0.2","18.6"
"Damien Williams","LV","27.4","83.7","0.5","7.0","39.8","0.5","0.1","18.2"
"Gary Brightwell","NYG","18.8","98.0","0.7","6.0","34.0","0.2","0.1","18.1"
"D'Ernest Johnson","JAC","33.0","119.8","0.3","3.3","35.2","0.0","0.0","17.7"
"Deneric Prince","KC","31.4","103.8","0.4","4.4","42.9","0.1","0.2","17.5"
"John Kelly Jr.","CLE","19.0","81.5","0.5","5.8","43.1","0.3","0.2","16.8"
"Dare Ogunbowale","HOU","15.1","71.9","0.5","9.4","56.9","0.2","0.1","16.7"
"Demetric Felton Jr.","CLE","17.4","72.2","0.2","10.1","68.8","0.2","0.1","16.6"
"Tyrion Davis-Price","SF","35.4","107.5","0.4","2.5","33.6","0.1","0.2","16.6"
"Tony Jones Jr.","DEN","30.8","91.3","0.5","4.4","31.0","0.1","0.1","16.0"
"Salvon Ahmed","MIA","31.7","97.1","0.1","4.3","52.1","0.1","0.0","15.9"
"Lew Nichols III","GB","25.5","101.8","0.5","4.0","27.1","0.0","0.1","15.8"
"Myles Gaskin","MIA","32.4","98.1","0.1","4.4","56.3","0.1","0.4","15.7"
"J.J. Taylor","NE","4.5","79.2","0.6","4.6","31.1","0.2","0.1","15.5"
"Brittain Brown","LV","17.3","77.7","0.6","4.1","33.6","0.1","0.0","15.2"
"Mohamed Ibrahim","DET","23.3","82.8","0.4","6.0","40.2","0.1","0.1","15.1"
"Brandon Bolden","LV","19.8","66.6","0.5","5.1","45.0","0.2","0.1","14.9"
"Jake Funk","IND","21.1","85.4","0.6","2.3","18.6","0.1","0.0","14.4"
"Hunter Luepke","DAL","18.0","51.1","0.6","6.9","47.5","0.1","0.0","14.4"
"Jonathan Williams","WAS","31.8","89.5","0.4","3.4","20.9","0.1","0.1","14.1"
"Justice Hill","BAL","18.5","77.5","0.3","6.5","40.5","0.2","0.2","13.9"
"Ty'Son Williams","ARI","19.8","73.2","0.5","3.7","26.4","0.1","0.0","13.2"
"Kirk Merritt","NO","9.1","38.7","0.3","7.4","58.1","0.3","0.1","13.1"
"Reggie Gilliam","BUF","4.5","18.8","0.2","8.9","65.5","0.5","0.0","12.5"
"Keaton Mitchell","BAL","29.5","93.5","0.0","0.0","34.7","0.0","0.2","12.4"
"Snoop Conner","JAC","20.8","61.1","0.6","2.5","19.3","0.0","0.0","11.7"
"Royce Freeman","LAR","12.9","68.0","0.3","4.1","26.4","0.1","0.1","11.4"
"Zander Horvath","LAC","6.1","14.3","0.0","5.5","25.1","1.1","0.0","10.7"
"Mike Boone","HOU","18.7","62.1","0.2","2.8","24.1","0.1","0.0","10.5"
"Alec Ingold","MIA","4.6","11.9","0.1","10.3","64.8","0.4","0.0","10.4"
"Julius Chestnut","TEN","12.7","44.9","0.1","5.7","37.3","0.2","0.1","9.7"
"Trey Sermon","PHI","17.5","58.8","0.1","3.8","29.6","0.1","0.1","9.7"
"Trestan Ebner","CHI","17.7","59.9","0.1","2.9","26.5","0.1","0.1","9.5"
"C.J. Ham","MIN","6.8","19.4","0.1","8.0","48.4","0.3","0.0","9.4"
"Jaleel McLaughlin","DEN","15.1","52.6","0.2","3.8","24.0","0.1","0.1","9.2"
"Darrynton Evans","BUF","9.1","31.9","0.1","8.9","38.1","0.3","0.0","9.0"
"Spencer Brown","CAR","8.3","36.1","0.3","4.0","28.7","0.1","0.1","8.8"
"Damarea Crockett","NYJ","7.6","32.3","0.2","4.1","30.4","0.2","0.0","8.7"
"La'Mical Perine","KC","4.2","17.6","0.2","5.0","35.6","0.3","0.0","8.4"
"Jermar Jefferson","DET","4.6","19.4","0.2","4.4","34.5","0.3","0.0","8.3"
"Patrick Ricard","BAL","6.2","18.9","0.1","7.0","48.6","0.3","0.6","7.9"
"Godwin Igwebuike","ATL","0.0","13.2","0.1","6.4","42.4","0.2","0.1","7.5"
"Jonathan Ward","TEN","10.1","42.9","0.2","1.9","14.0","0.1","0.0","7.4"
"Qadree Ollison","JAC","4.5","18.8","0.2","4.5","31.8","0.2","0.0","7.1"
"Giovanni Ricci","CAR","4.6","19.6","0.2","4.1","29.9","0.2","0.0","7.0"
"Jason Cabinda","DET","4.6","12.5","0.1","4.4","33.3","0.3","0.0","6.9"
"Patrick Laird","TB","4.4","18.2","0.2","4.1","30.5","0.2","0.0","6.9"
"Jaret Patterson","WAS","10.1","33.6","0.2","2.4","16.3","0.1","0.0","6.8"
"Nate McCrary","GB","5.4","22.7","0.1","3.8","28.1","0.2","0.0","6.8"
"Ronnie Rivers","LAR","4.6","19.4","0.1","4.0","30.4","0.2","0.0","6.6"
"Avery Williams","ATL","5.4","22.8","0.2","3.5","22.4","0.2","0.0","6.6"
"Gerrid Doaks","HOU","4.7","19.8","0.1","4.0","27.7","0.2","0.0","6.3"
