"Player","Team","REC","YDS","TDS","FL","FPTS"
"Hunter Long","LAR","5.3","94.3","0.5","0.1","12.1"
"Ko Kieft","TB","7.8","82.3","0.6","0.0","12.0"
"Ross Dwelley","SF","3.6","82.1","0.6","0.0","11.7"
"Marcedes Lewis","CHI","8.0","49.0","1.1","0.0","11.5"
"Tanner Hudson","CIN","8.0","86.6","0.4","0.0","11.3"
"Will Mallory","IND","5.1","80.1","0.5","0.0","10.8"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","10.6"
"Drew Sample","CIN","8.5","78.7","0.5","0.1","10.6"
"Andrew Beck","HOU","8.0","71.7","0.3","0.0","10.5"
"Quintin Morris","BUF","5.7","78.3","0.4","0.1","10.4"
"Tyler Kroft","MIA","7.0","66.3","0.6","0.0","10.1"
"Jesper Horsted","LV","5.8","68.3","0.5","0.0","9.7"
"Armani Rogers","WAS","7.3","74.4","0.4","0.1","9.6"
"Curtis Hodges","WAS","6.3","59.6","0.6","0.0","9.6"
"Giovanni Ricci","CAR","1.9","75.8","0.3","0.1","9.6"
"Chris Manhertz","DEN","5.1","67.8","0.4","0.0","9.2"
"Johnny Mundt","MIN","6.1","72.5","0.3","0.0","9.2"
"Stone Smartt","LAC","8.7","56.7","0.5","0.0","8.9"
"Grant Calcaterra","PHI","3.4","69.8","0.3","0.1","8.7"
"Luke Farrell","JAC","6.1","60.8","0.4","0.0","8.6"
"Devin Asiasi","CIN","5.6","58.7","0.4","0.0","8.4"
"Shane Zylstra","DET","3.9","66.1","0.3","0.1","8.4"
"Trevon Wesco","TEN","2.4","60.7","0.3","0.1","7.9"
"Kendall Blanton","KC","0.0","57.1","0.3","0.0","7.5"
"Anthony Firkser","NE","5.8","54.1","0.4","0.0","7.5"
"Eric Tomlinson","HOU","5.5","49.9","0.4","0.0","7.2"
"Tommy Sweeney","NYG","3.7","56.5","0.3","0.1","7.0"
"Kevin Rader","TEN","0.8","49.6","0.3","0.1","6.5"
"Parker Hesse","ATL","2.2","49.5","0.1","0.0","5.7"
"David Wells","TB","3.0","29.5","0.4","0.0","5.6"
"Tanner Conner","MIA","4.0","37.8","0.3","0.0","5.5"
"Dominique Dafney","TB","3.7","38.3","0.3","0.0","5.4"
"Jacob Hollister","LV","0.0","23.5","0.5","0.0","5.4"
"Charlie Woerner","SF","3.4","32.0","0.3","0.0","5.0"
"Mason Schreck","HOU","3.6","35.2","0.2","0.0","5.0"
"Dalton Keene","HOU","3.6","35.1","0.2","0.0","5.0"
"Chris Myarick","NYG","3.7","34.1","0.3","0.0","4.9"
"Sean McKeon","DAL","2.5","28.1","0.3","0.0","4.7"
"Noah Togiai","ARI","3.0","32.0","0.2","0.0","4.7"
"Mitchell Wilcox","CIN","0.0","44.1","0.0","0.0","4.4"
"Tyler Mabry","SEA","2.8","29.5","0.2","0.0","4.3"
"Feleipe Franks","ATL","3.1","29.4","0.2","0.0","4.3"
"Tyree Jackson","PHI","0.0","24.2","0.3","0.0","4.2"
"Pharaoh Brown","IND","2.0","37.9","0.1","0.1","4.1"
"Kaden Smith","WAS","3.3","29.6","0.2","0.0","4.0"
"Jake Tonges","CHI","2.7","25.8","0.2","0.0","3.8"
"Tyler Davis","GB","2.5","21.2","0.3","0.0","3.7"
"Matt Sokol","NE","1.7","17.2","0.3","0.0","3.6"
"MyCole Pruitt","ATL","0.0","11.0","0.3","0.0","2.9"
"Nick Vannett","HOU","2.1","19.0","0.1","0.0","2.7"
"Hunter Kampmoyer","LAC","0.5","3.9","0.1","0.0","0.8"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.2"
""
""
